date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Kansas City Royals,4,2,3,1,4,1,1,.750,.800,2.250,3.050
2025-03-29,Kansas City Royals,2,0,0,0,0,2,0,.500,.667,1.500,2.167
2025-03-30,Kansas City Royals,5,1,2,1,2,0,1,.455,.571,1.273,1.844
2025-03-31,San Diego Padres,2,0,0,0,0,0,0,.385,.500,1.077,1.577
2025-04-01,San Diego Padres,4,0,0,0,0,0,1,.294,.400,.824,1.224
2025-04-02,San Diego Padres,3,0,0,0,1,0,1,.250,.333,.700,1.033
2025-04-04,Los Angeles Angels,3,1,1,0,1,1,2,.261,.345,.652,.997
2025-04-05,Los Angeles Angels,4,0,1,0,0,0,0,.259,.333,.593,.926
2025-04-06,Los Angeles Angels,4,1,1,1,1,0,3,.258,.324,.645,.969
