date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Houston Astros,1,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-28,Houston Astros,3,0,1,0,1,1,1,.250,.400,.250,.650
2025-03-29,Houston Astros,2,0,0,0,0,0,0,.167,.286,.167,.453
2025-04-01,Miami Marlins,4,0,1,0,0,0,2,.200,.273,.200,.473
2025-04-02,Miami Marlins,3,0,0,0,1,2,1,.154,.313,.154,.467
2025-04-05,Toronto Blue Jays,4,0,3,0,2,0,0,.294,.400,.588,.988
2025-04-06,Toronto Blue Jays,3,0,0,0,0,0,2,.250,.348,.500,.848
