date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-30,Cleveland Guardians,8,2,3,1,0,2,0,.375,.500,.750,1.250
2025-04-04,Baltimore Orioles,3,0,0,0,0,1,1,.273,.250,.000,.250
2025-04-05,Baltimore Orioles,9,2,3,0,0,1,1,.300,.400,.556,.956
