date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-28,Miami Marlins,22,1,5,0,0,1,4,.227,.261,.273,.534
2025-04-04,New York Yankees,19,7,8,0,0,4,4,.317,.560,.474,1.034
