date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Atlanta Braves,1,1,1,1,1,0,0,1.000,1.000,4.000,5.000
2025-03-28,Atlanta Braves,4,0,1,0,0,0,0,.400,.400,1.000,1.400
2025-03-29,Atlanta Braves,2,0,0,0,0,0,1,.286,.286,.714,1.000
2025-03-30,Atlanta Braves,4,0,2,0,0,0,1,.364,.364,.636,1.000
2025-03-31,Cleveland Guardians,3,2,3,0,4,1,0,.500,.533,.857,1.390
2025-04-02,Cleveland Guardians,4,0,1,0,0,0,1,.444,.474,.722,1.196
2025-04-04,Chicago Cubs,1,0,0,0,0,0,0,.421,.450,.684,1.134
2025-04-05,Chicago Cubs,2,0,0,0,0,0,1,.381,.409,.619,1.028
2025-04-06,Chicago Cubs,5,0,2,0,1,0,3,.385,.407,.577,.984
