date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Washington Nationals,4,2,2,1,1,1,1,.500,.600,1.250,1.850
2025-03-29,Washington Nationals,5,1,2,1,3,0,2,.444,.500,1.111,1.611
2025-03-30,Washington Nationals,4,0,1,0,0,0,1,.385,.467,.846,1.313
2025-03-31,Colorado Rockies,4,1,1,1,2,0,1,.353,.421,.882,1.303
2025-04-02,Colorado Rockies,4,1,1,0,1,0,1,.333,.391,.810,1.201
2025-04-03,Colorado Rockies,5,2,1,1,1,0,0,.308,.357,.808,1.165
2025-04-04,Los Angeles Dodgers,2,0,0,0,0,2,0,.286,.375,.750,1.125
2025-04-05,Los Angeles Dodgers,3,1,1,0,0,0,1,.290,.389,.710,1.099
2025-04-06,Los Angeles Dodgers,3,1,0,0,0,2,2,.265,.390,.647,1.037
