date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-29,Texas Rangers,19,4,7,1,0,0,3,.368,.400,.579,.979
2025-04-04,St. Louis Cardinals,21,5,7,2,0,1,4,.350,.364,.667,1.031
