date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Los Angeles Dodgers,1,0,0,0,0,0,1,.000,.000,.000,.000
2025-03-28,Los Angeles Dodgers,5,0,1,0,0,0,1,.167,.167,.167,.334
2025-03-29,Los Angeles Dodgers,3,0,0,0,1,1,0,.111,.200,.111,.311
2025-03-31,Seattle Mariners,5,1,3,0,1,0,0,.286,.333,.286,.619
2025-04-01,Seattle Mariners,4,0,1,0,0,0,1,.278,.316,.278,.594
2025-04-02,Seattle Mariners,4,1,1,1,1,0,2,.273,.304,.409,.713
2025-04-04,Chicago White Sox,3,0,1,0,1,1,1,.280,.333,.480,.813
2025-04-05,Chicago White Sox,4,0,1,0,1,0,1,.276,.323,.483,.806
2025-04-06,Chicago White Sox,1,1,0,0,0,1,0,.267,.333,.467,.800
