date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Miami Marlins,0,0,0,0,0,1,0,.000,1.000,.000,1.000
2025-03-28,Miami Marlins,3,0,1,0,1,0,1,.333,.400,.333,.733
2025-03-29,Miami Marlins,5,1,1,0,1,0,2,.250,.300,.250,.550
2025-03-30,Miami Marlins,4,0,0,0,0,0,0,.167,.214,.167,.381
2025-03-31,Tampa Bay Rays,3,0,1,0,1,0,1,.200,.235,.200,.435
2025-04-02,Tampa Bay Rays,4,0,2,0,1,0,0,.263,.318,.263,.581
2025-04-04,New York Yankees,1,0,0,0,0,0,0,.250,.304,.250,.554
2025-04-05,New York Yankees,2,0,0,0,0,1,0,.227,.308,.227,.535
2025-04-06,New York Yankees,4,1,1,0,0,0,1,.231,.300,.231,.531
