date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,New York Mets,3,0,0,0,0,1,2,.000,.250,.000,.250
2025-03-28,New York Mets,3,0,0,0,0,0,0,.000,.143,.000,.143
2025-03-29,New York Mets,0,0,0,0,0,0,0,.000,.143,.000,.143
2025-04-01,San Francisco Giants,3,0,1,0,0,0,1,.111,.200,.111,.311
2025-04-02,San Francisco Giants,3,0,1,0,0,1,0,.167,.286,.167,.453
2025-04-03,Minnesota Twins,4,0,3,0,3,0,1,.313,.389,.375,.764
2025-04-05,Minnesota Twins,3,0,1,0,0,1,2,.316,.409,.421,.830
2025-04-06,Minnesota Twins,5,2,2,0,0,0,3,.333,.407,.417,.824
