date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Texas Rangers,4,0,0,0,1,0,2,.000,.000,.000,.000
2025-03-28,Texas Rangers,4,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-29,Texas Rangers,0,0,0,0,0,0,0,.000,.000,.000,.000
2025-03-30,Texas Rangers,4,0,1,0,0,0,0,.083,.083,.083,.166
2025-03-31,Baltimore Orioles,3,0,0,0,0,0,1,.067,.067,.067,.134
2025-04-02,Baltimore Orioles,3,1,1,0,1,1,1,.111,.158,.111,.269
2025-04-03,Baltimore Orioles,4,0,1,0,0,0,0,.136,.174,.136,.310
2025-04-04,St. Louis Cardinals,4,1,0,0,1,1,0,.115,.179,.115,.294
2025-04-06,St. Louis Cardinals,4,3,3,0,2,1,0,.200,.273,.200,.473
