date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,San Diego Padres,5,1,1,1,3,0,0,.200,.200,.800,1.000
2025-03-28,San Diego Padres,3,0,0,0,0,1,1,.125,.222,.500,.722
2025-03-29,San Diego Padres,4,0,1,0,0,0,0,.167,.231,.417,.648
2025-03-30,San Diego Padres,3,0,0,0,0,0,1,.133,.188,.333,.521
2025-03-31,Los Angeles Dodgers,3,0,1,0,0,1,0,.167,.250,.333,.583
2025-04-01,Los Angeles Dodgers,4,0,0,0,0,0,1,.136,.208,.273,.481
2025-04-02,Los Angeles Dodgers,5,1,2,0,1,0,1,.185,.241,.333,.574
2025-04-04,Miami Marlins,5,2,2,0,1,0,0,.219,.265,.344,.609
2025-04-05,Miami Marlins,4,0,0,0,0,0,0,.194,.237,.306,.543
