date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,New York Yankees,3,1,1,1,1,0,1,.333,.333,1.333,1.666
2025-03-29,New York Yankees,3,1,1,0,1,0,0,.333,.333,.833,1.166
2025-03-30,New York Yankees,1,0,0,0,0,0,0,.286,.286,.714,1.000
2025-03-31,Kansas City Royals,4,0,0,0,0,0,1,.182,.182,.455,.637
2025-04-01,Kansas City Royals,1,0,0,0,1,0,0,.167,.167,.417,.584
2025-04-02,Kansas City Royals,5,0,1,0,0,0,1,.176,.176,.353,.529
2025-04-03,Cincinnati Reds,2,0,0,0,0,0,1,.158,.158,.316,.474
