date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,New York Yankees,2,0,1,0,0,0,0,.500,.500,1.000,1.500
2025-03-29,New York Yankees,2,0,1,0,0,0,1,.500,.500,.750,1.250
2025-03-30,New York Yankees,0,0,0,0,0,0,0,.500,.500,.750,1.250
2025-03-31,Kansas City Royals,2,1,1,0,0,0,0,.500,.500,.833,1.333
2025-04-02,Kansas City Royals,3,0,1,0,0,0,1,.444,.444,.778,1.222
2025-04-03,Cincinnati Reds,3,0,0,0,0,0,0,.333,.333,.583,.916
2025-04-05,Cincinnati Reds,2,0,0,0,0,0,1,.286,.286,.500,.786
