date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-27,Kansas City Royals,4,1,2,0,1,0,0,.500,.500,.750,1.250
2025-03-29,Kansas City Royals,3,2,1,1,1,1,0,.429,.500,1.000,1.500
2025-03-30,Kansas City Royals,5,1,3,0,1,0,0,.500,.538,.833,1.371
2025-03-31,San Diego Padres,4,0,0,0,0,0,2,.375,.412,.625,1.037
2025-04-01,San Diego Padres,3,0,1,0,0,1,2,.368,.429,.579,1.008
2025-04-02,San Diego Padres,4,1,1,0,0,0,1,.348,.400,.522,.922
2025-04-04,Los Angeles Angels,4,2,1,0,0,1,0,.333,.400,.481,.881
2025-04-05,Los Angeles Angels,3,1,2,0,0,0,0,.367,.424,.500,.924
2025-04-06,Los Angeles Angels,4,0,1,0,0,0,0,.353,.405,.471,.876
