date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-04-01,Texas Rangers,20,1,3,1,0,2,5,.150,.261,.350,.611
2025-04-06,Milwaukee Brewers,13,4,5,0,0,1,3,.242,.400,.462,.862
