date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-28,Boston Red Sox,2,0,1,0,0,1,1,.500,.667,.500,1.167
2025-03-29,Boston Red Sox,3,1,1,0,0,0,0,.400,.500,.400,.900
2025-03-30,Boston Red Sox,3,0,1,0,0,0,2,.375,.444,.375,.819
2025-03-31,Cincinnati Reds,4,0,0,0,1,0,2,.250,.308,.250,.558
2025-04-01,Cincinnati Reds,4,0,0,0,0,0,1,.188,.235,.188,.423
2025-04-02,Cincinnati Reds,3,0,0,0,0,0,0,.158,.200,.158,.358
2025-04-04,Tampa Bay Rays,3,1,1,0,1,0,0,.182,.217,.182,.399
2025-04-05,Tampa Bay Rays,2,0,0,0,0,0,1,.167,.200,.167,.367
2025-04-06,Tampa Bay Rays,3,0,1,0,1,0,2,.185,.214,.185,.399
