date,opponent,atBats,runs,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
2025-03-28,Houston Astros,2,0,0,0,0,0,1,.000,.000,.000,.000
2025-03-29,Houston Astros,3,0,0,0,0,0,2,.000,.000,.000,.000
2025-03-31,Miami Marlins,4,0,1,0,0,0,0,.111,.111,.222,.333
2025-04-01,Miami Marlins,1,0,0,0,0,0,0,.100,.100,.200,.300
2025-04-02,Miami Marlins,4,0,0,0,0,0,1,.071,.071,.143,.214
2025-04-05,Toronto Blue Jays,4,0,1,0,0,0,2,.111,.111,.167,.278
2025-04-06,Toronto Blue Jays,3,0,0,0,0,0,2,.095,.095,.143,.238
